population,continent,country,lat,lon
67837,North America,Bermuda,32.3163761,-64.8114628
313973000,North America,United States,36.2034115,-113.7685571
33487208,North America,Canada,50.799165,-130.2077494
309156,North America,"Bahamas, The",24.3677154,-80.473505
1310000,North America,Trinidad and Tobago,10.6961976,-61.7735705
3971020,North America,Puerto Rico,18.2052103,-67.7100023
284589,North America,Barbados,13.1881384,-59.6756861
40131,North America,St. Kitts and Nevis,17.2495508,-62.8370304
85632,North America,Antigua and Barbuda,17.3257016,-62.2910841
3360474,North America,Panama,8.3713313,-82.3556202
4253877,North America,Costa Rica,8.3515361,-87.0589061
111211789,North America,Mexico,23.2921807,-111.6722272
90739,North America,Grenada,12.2596597,-61.8711853
160267,North America,St. Lucia,13.9128126,-61.1109468
72660,North America,Dominica,15.4263291,-61.4979354
104574,North America,St. Vincent and the Grenadines,12.9714322,-61.5642852
9650054,North America,Dominican Republic,18.6665553,-71.2541764
2825928,North America,Jamaica,18.1160743,-78.4002403
307899,North America,Belize,17.1876668,-89.4442746
7185218,North America,El Salvador,13.7464325,-90.0543995
13276517,North America,Guatemala,15.7113247,-92.4848835
7792854,North America,Honduras,15.2131734,-88.4535923
5891199,North America,Nicaragua,27.8492105,-107.4257451
9035536,North America,Haiti,19.0318172,-74.2362756
